tasks_completed,average_score,average_teacher_score,average_model_score,time_spent,avg_attempts,late_submissions,efficiency_per_minute,correct_ratio,teacher_model_gap,late_ratio,final_efficiency_score
7,0.54,0.51,1.0,446,1.37,3,0.00121,0.3942,0.49,0.4286,7.17
20,0.42,0.71,0.91,817,1.61,1,0.00051,0.2609,0.2,0.05,9.34
15,0.72,0.66,0.68,296,1.62,0,0.00243,0.4444,0.02,0.0,9.76
11,0.78,0.76,0.54,675,1.79,0,0.00116,0.4358,0.22,0.0,9.32
8,0.75,0.89,0.78,578,1.89,1,0.0013,0.3968,0.11,0.125,8.32
7,0.55,0.43,0.69,342,1.38,0,0.00161,0.3986,0.26,0.0,8.83
19,0.8,0.7,0.93,60,1.0,1,0.01333,0.8,0.23,0.0526,10.0
11,0.63,0.52,0.38,790,1.0,1,0.0008,0.63,0.14,0.0909,8.33
11,0.61,0.74,1.0,523,2.21,2,0.00117,0.276,0.26,0.1818,8.73
4,0.63,0.62,0.78,289,2.04,3,0.00218,0.3088,0.16,0.75,7.94
8,0.71,0.65,0.58,231,1.95,0,0.00307,0.3641,0.07,0.0,7.76
3,0.55,0.5,0.81,146,2.07,1,0.00377,0.2657,0.31,0.3333,6.97
2,0.7,0.6,0.89,612,1.39,1,0.00114,0.5036,0.29,0.5,7.12
12,0.74,0.66,0.72,182,1.06,0,0.00407,0.6981,0.06,0.0,9.82
6,0.81,0.81,0.44,902,1.0,0,0.0009,0.81,0.37,0.0,9.17
2,0.72,0.55,0.66,357,1.0,0,0.00202,0.72,0.11,0.0,8.45
1,0.57,0.58,0.86,944,2.35,2,0.0006,0.2426,0.28,2.0,6.39
12,0.71,0.76,0.77,988,1.15,1,0.00072,0.6174,0.01,0.0833,8.71
12,0.59,0.55,0.68,749,2.24,1,0.00079,0.2634,0.13,0.0833,8.09
17,0.59,0.79,0.9,634,1.37,4,0.00093,0.4307,0.11,0.2353,9.39
10,0.56,0.65,0.81,543,1.03,3,0.00103,0.5437,0.16,0.3,8.0
16,0.51,0.69,0.82,224,1.0,0,0.00228,0.51,0.13,0.0,9.89
15,0.64,0.69,0.64,758,1.09,1,0.00084,0.5872,0.05,0.0667,8.74
15,0.81,0.58,0.62,442,2.49,1,0.00183,0.3253,0.04,0.0667,8.79
19,0.93,0.7,0.45,268,1.0,1,0.00347,0.93,0.25,0.0526,10.0
12,0.64,0.56,0.66,798,2.98,0,0.0008,0.2148,0.1,0.0,7.63
20,0.81,0.59,0.84,491,1.0,2,0.00165,0.81,0.25,0.1,9.86
3,0.66,0.72,0.67,448,2.02,1,0.00147,0.3267,0.05,0.3333,7.47
5,0.53,0.69,0.77,619,1.4,1,0.00086,0.3786,0.08,0.2,8.16
19,0.77,0.64,0.87,283,1.28,1,0.00272,0.6016,0.23,0.0526,9.58
7,0.72,0.5,0.76,62,1.0,1,0.01161,0.72,0.26,0.1429,8.49
9,0.88,0.53,0.77,431,1.43,1,0.00204,0.6154,0.24,0.1111,8.93
7,0.55,0.68,0.5,746,1.0,0,0.00074,0.55,0.18,0.0,7.96
18,0.98,0.74,0.65,505,1.0,1,0.00194,0.98,0.09,0.0556,10.0
4,0.86,0.52,0.96,670,1.58,0,0.00128,0.5443,0.44,0.0,8.38
14,0.7,0.55,0.72,175,1.06,1,0.004,0.6604,0.17,0.0714,9.03
18,0.67,0.67,0.98,329,2.68,0,0.00204,0.25,0.31,0.0,8.9
9,0.63,0.66,0.59,506,2.2,4,0.00125,0.2864,0.07,0.4444,7.64
2,0.71,0.46,0.74,427,2.69,0,0.00166,0.2639,0.28,0.0,7.34
20,0.68,0.67,0.64,312,1.02,3,0.00218,0.6667,0.03,0.15,9.06
15,0.75,0.58,0.79,376,1.6,0,0.00199,0.4688,0.21,0.0,9.95
7,0.67,0.85,0.83,474,1.0,3,0.00141,0.67,0.02,0.4286,8.76
12,0.84,0.68,0.79,154,1.3,0,0.00545,0.6462,0.11,0.0,9.99
8,0.71,0.7,0.86,844,1.57,0,0.00084,0.4522,0.16,0.0,8.9
15,0.67,0.7,0.7,951,1.61,1,0.0007,0.4161,0.0,0.0667,8.87
3,0.8,0.5,0.67,83,1.47,0,0.00964,0.5442,0.17,0.0,8.39
14,0.54,0.88,0.44,687,1.55,1,0.00079,0.3484,0.44,0.0714,8.18
17,0.73,0.46,0.8,722,1.0,1,0.00101,0.73,0.34,0.0588,10.0
4,0.7,0.75,0.73,909,1.68,4,0.00077,0.4167,0.02,1.0,6.79
18,0.56,0.72,0.69,109,1.84,0,0.00514,0.3043,0.03,0.0,9.95
8,0.53,0.59,0.67,561,2.44,0,0.00094,0.2172,0.08,0.0,7.61
4,0.8,0.73,0.69,777,1.76,2,0.00103,0.4545,0.04,0.5,8.11
2,0.8,0.61,0.66,557,1.41,1,0.00144,0.5674,0.05,0.5,8.46
6,0.72,0.57,0.62,394,2.27,2,0.00183,0.3172,0.05,0.3333,7.06
10,0.87,0.71,0.74,138,1.0,1,0.0063,0.87,0.03,0.1,10.0
4,0.74,0.53,0.77,641,1.14,1,0.00115,0.6491,0.24,0.25,7.25
18,0.82,0.62,0.58,86,1.0,0,0.00953,0.82,0.04,0.0,10.0
12,0.74,0.58,0.64,330,1.48,1,0.00224,0.5,0.06,0.0833,8.46
2,0.67,0.61,0.67,621,1.0,1,0.00108,0.67,0.06,0.5,7.66
10,0.59,0.7,0.7,863,2.42,0,0.00068,0.2438,0.0,0.0,8.18
4,0.64,0.58,0.68,306,1.33,2,0.00209,0.4812,0.1,0.5,7.78
14,0.67,0.63,0.8,835,1.72,0,0.0008,0.3895,0.17,0.0,9.52
16,0.84,0.59,0.45,650,1.66,2,0.00129,0.506,0.14,0.125,8.83
15,0.78,0.82,0.48,446,2.38,0,0.00175,0.3277,0.34,0.0,8.61
8,0.73,0.69,0.73,761,1.0,0,0.00096,0.73,0.04,0.0,9.6
14,0.79,0.68,0.61,618,1.58,1,0.00128,0.5,0.07,0.0714,9.23
8,0.75,0.73,0.83,420,2.3,0,0.00179,0.3261,0.1,0.0,9.07
16,0.73,0.58,0.88,925,1.43,2,0.00079,0.5105,0.3,0.125,9.47
13,0.55,0.75,0.74,547,1.0,1,0.00101,0.55,0.01,0.0769,9.28
18,0.81,0.69,0.54,411,1.08,0,0.00197,0.75,0.15,0.0,9.88
15,0.65,0.46,0.86,760,1.22,0,0.00086,0.5328,0.4,0.0,9.1
13,0.81,0.48,0.73,987,1.0,1,0.00082,0.81,0.25,0.0769,9.21
9,0.82,0.58,0.48,315,1.39,2,0.0026,0.5899,0.1,0.2222,8.12
15,0.63,0.49,0.49,281,2.56,1,0.00224,0.2461,0.0,0.0667,7.95
13,0.79,0.62,0.93,943,1.08,3,0.00084,0.7315,0.31,0.2308,9.45
1,0.66,0.53,0.9,812,1.16,1,0.00081,0.569,0.37,1.0,7.9
7,0.66,0.64,0.32,840,1.82,1,0.00079,0.3626,0.32,0.1429,7.35
9,0.73,0.82,0.5,60,1.38,0,0.01217,0.529,0.32,0.0,8.94
1,0.73,0.64,0.87,605,1.0,1,0.00121,0.73,0.23,1.0,8.26
12,0.7,0.61,0.7,505,1.46,0,0.00139,0.4795,0.09,0.0,8.79
8,0.57,0.7,0.81,138,1.43,1,0.00413,0.3986,0.11,0.125,7.74
11,0.69,0.57,0.69,295,2.18,1,0.00234,0.3165,0.12,0.0909,7.88
19,0.93,0.75,0.8,393,1.0,0,0.00237,0.93,0.05,0.0,10.0
17,0.42,0.71,0.7,948,2.19,0,0.00044,0.1918,0.01,0.0,8.43
8,0.79,0.65,0.63,408,1.43,2,0.00194,0.5524,0.02,0.25,8.32
3,0.81,0.67,0.86,157,1.0,1,0.00516,0.81,0.19,0.3333,9.14
3,0.56,0.9,0.73,141,1.0,2,0.00397,0.56,0.17,0.6667,8.32
1,0.65,0.76,0.8,561,2.85,0,0.00116,0.2281,0.04,0.0,7.04
5,0.6,0.91,0.72,536,1.39,2,0.00112,0.4317,0.19,0.4,8.48
10,0.89,0.71,0.63,986,2.16,2,0.0009,0.412,0.08,0.2,8.84
7,0.81,0.47,0.94,763,1.0,0,0.00106,0.81,0.47,0.0,8.85
9,0.82,0.62,0.75,824,3.35,0,0.001,0.2448,0.13,0.0,7.71
7,0.71,0.45,0.65,980,2.13,1,0.00072,0.3333,0.2,0.1429,8.03
9,0.83,0.71,0.89,609,1.32,1,0.00136,0.6288,0.18,0.1111,9.34
8,0.7,0.74,0.5,73,1.29,1,0.00959,0.5426,0.24,0.125,7.52
12,0.84,0.54,1.0,451,2.01,1,0.00186,0.4179,0.46,0.0833,8.38
2,0.69,0.57,0.67,406,1.97,2,0.0017,0.3503,0.1,1.0,6.98
1,0.63,0.67,0.51,369,1.63,2,0.00171,0.3865,0.16,2.0,6.46
16,0.88,0.51,0.99,445,1.51,1,0.00198,0.5828,0.48,0.0625,9.57
5,0.7,0.5,0.63,268,1.89,0,0.00261,0.3704,0.13,0.0,7.88
3,0.61,0.8,0.74,416,1.0,1,0.00147,0.61,0.06,0.3333,9.07
12,0.61,0.66,0.81,660,1.24,1,0.00092,0.4919,0.15,0.0833,8.89
8,0.61,0.58,0.88,627,1.0,2,0.00097,0.61,0.3,0.25,8.85
3,0.78,0.45,0.74,153,1.92,1,0.0051,0.4063,0.29,0.3333,8.11
1,0.69,0.75,0.6,152,1.03,2,0.00454,0.6699,0.15,2.0,8.41
3,0.93,0.57,0.73,399,1.0,0,0.00233,0.93,0.16,0.0,9.37
5,0.82,0.87,0.64,656,1.0,2,0.00125,0.82,0.23,0.4,8.04
15,0.73,0.75,0.74,504,1.6,2,0.00145,0.4562,0.01,0.1333,9.34
14,0.84,0.55,0.94,816,1.36,1,0.00103,0.6176,0.39,0.0714,10.0
3,0.65,0.56,0.81,81,1.0,0,0.00802,0.65,0.25,0.0,8.49
1,0.51,0.86,0.73,350,1.0,0,0.00146,0.51,0.13,0.0,9.03
5,0.6,0.64,0.81,544,1.55,1,0.0011,0.3871,0.17,0.2,8.35
14,0.71,0.59,0.82,843,1.09,0,0.00084,0.6514,0.23,0.0,10.0
